人工结果,预测结果,预测概率,模型准确率
通过,通过,0.5124665072949602,0.8363636363636363
通过,通过,0.5124665072949602,0.8363636363636363
通过,通过,0.5124665072949602,0.8363636363636363
通过,通过,0.5124665072949602,0.8363636363636363
通过,不通过,0.4822116140026627,0.8363636363636363
不通过,通过,0.5124665072949602,0.8363636363636363
不通过,通过,0.5124665072949602,0.8363636363636363
不通过,不通过,0.4822116140026627,0.8363636363636363
不通过,不通过,0.4822116140026627,0.8363636363636363
不通过,不通过,0.4822116140026627,0.8363636363636363
不通过,不通过,0.4822116140026627,0.8363636363636363
不通过,不通过,0.4822116140026627,0.8363636363636363
不通过,通过,0.5124665072949602,0.8363636363636363
不通过,不通过,0.4822116140026627,0.8363636363636363
不通过,不通过,0.4822116140026627,0.8363636363636363
不通过,不通过,0.4822116140026627,0.8363636363636363
不通过,不通过,0.4822116140026627,0.8363636363636363
通过,通过,0.5228466287288263,0.8363636363636363
通过,通过,0.5228466287288263,0.8363636363636363
通过,通过,0.5228466287288263,0.8363636363636363
通过,通过,0.5124665072949602,0.8363636363636363
通过,通过,0.5228466287288263,0.8363636363636363
